"优先级","评分","id","年份","日期","文号","标题","发文机关","当前司局","当前处室","官方链接","复核状态","建议司局","建议处室","复核说明"
"37","74","doc-160","2023","2023-12","国中医药综医政发〔2023〕6号","《关于深化中医馆建设 加强中医医师配备的通知》","国家中医药管理局","卫健委-基层卫生健康司","综合处","https://www.gov.cn/zhengce/zhengceku/202312/content_6921027.htm","待复核","","",""
"38","72","doc-002","2026","2026-05","国卫基层发〔2026〕15号","《关于印发家庭病床服务指南（试行）的通知》","国家中医药管理局,国家卫生健康委员会","卫健委-基层卫生健康司","家庭医生处","https://www.gov.cn/zhengce/zhengceku/202605/content_7068890.htm","待复核","","",""
"39","72","doc-003","2026","2026-05","国卫人口发〔2026〕11号","《国家卫生健康委关于印发全国生育友好城市、生育友好单位创建管理办法的通知》","国家卫生健康委员会","卫健委-人口家庭司","政策协调处","https://www.gov.cn/zhengce/zhengceku/202605/content_7068783.htm","待复核","","",""
"40","72","doc-010","2026","2026-02","国卫药政发〔2026〕2号","《关于印发国家基本药物目录管理办法的通知》","国家发展和改革委员会,工业和信息化部,商务部,国家医疗保障局,财政部,国家疾病预防控制局,国家中医药管理局,国家卫生健康委员会,国家药品监督管理局,国家市场监督管理总局","中医药局-医政管理","中医药服务处","https://www.gov.cn/zhengce/zhengceku/202602/content_7057794.htm","待复核","","",""
"41","72","doc-014","2026","2026-01","国卫办药政函〔2025〕483号","《关于印发第四批鼓励仿制药品目录的通知》","工业和信息化部,国家卫生健康委员会,国家知识产权局,国家药品监督管理局","医保局-医药服务管理司","医保目录处","https://www.gov.cn/zhengce/zhengceku/202601/content_7053823.htm","待复核","","",""
"42","72","doc-346","2020","2020-12","医保发〔2020〕54号","《国家医疗保障局关于坚持传统服务方式与智能化服务创新并行 优化医疗保障服务工作的实施意见》","国家医疗保障局","卫健委-老龄健康司","健康服务处","https://www.gov.cn/zhengce/zhengceku/2020-12/30/content_5575172.htm","待复核","","",""
"43","72","doc-353","2020","2020-11","医保办发〔2020〕51号","《国家医疗保障局办公室关于贯彻执行15项医疗保障信息业务编码标准的通知》","国家医疗保障局","医保局-规划财务法规司","信息化处","https://www.gov.cn/zhengce/zhengceku/2020-11/30/content_5565849.htm","待复核","","",""
"44","72","doc-355","2020","2020-11","医保价采中心函〔2020〕24号","《国家医保局医药价格和招标采购指导中心关于印发《医药价格和招采信用评价的操作规范（2020版）》的通知》","国家医疗保障局","医保局-基金监管司","信用管理处","https://www.gov.cn/zhengce/zhengceku/2020-11/28/content_5565653.htm","待复核","","",""
"45","72","doc-360","2020","2020-11","医保办发〔2020〕42号","《国家医疗保障局办公室关于印发医保药品中药饮片和医疗机构制剂统一编码规则和方法的通知》","国家医疗保障局","医保局-规划财务法规司","信息化处","https://www.gov.cn/zhengce/zhengceku/2020-11/05/content_5557628.htm","待复核","","",""
"46","72","doc-365","2020","2020-11","医保发〔2020〕45号","《国家医疗保障局关于积极推进“互联网+”医疗服务医保支付工作的指导意见》","国家医疗保障局","医保局-基金监管司","基金监管处","https://www.gov.cn/zhengce/zhengceku/2020-11/03/content_5556883.htm","待复核","","",""
"47","72","doc-366","2020","2020-10","国卫办疾控发〔2020〕16号","《关于印发儿童青少年肥胖防控实施方案的通知》","国家卫生健康委员会,国家市场监督管理总局,国家体育总局,教育部","卫健委-规划发展与信息化司","发展规划处","https://www.gov.cn/zhengce/zhengceku/2020-10/24/content_5553848.htm","待复核","","",""
"48","72","doc-368","2020","2020-09","国卫办基层发〔2020〕12号","《关于印发紧密型县域医疗卫生共同体建设评判标准和监测指标体系（试行）的通知》","国家医疗保障局,国家卫生健康委员会,国家中医药管理局","卫健委-基层卫生健康司","运行评价处","https://www.gov.cn/zhengce/zhengceku/2020-09/18/content_5544471.htm","待复核","","",""
"49","72","doc-369","2020","2020-09","医保发〔2020〕33号","《国家医保局 财政部 国家税务总局关于加强和改进基本医疗保险参保工作的指导意见》","财政部,国家税务总局,国家医疗保障局","医保局-待遇保障司","筹资待遇处","https://www.gov.cn/zhengce/zhengceku/2020-09/14/content_5543256.htm","待复核","","",""
"50","72","doc-371","2020","2020-09","国卫办疾控函〔2020〕725号","《国家卫生健康委办公厅关于印发中央转移支付地方项目包虫病患者救治管理办法的通知》","国家卫生健康委员会","卫健委-法规司","立法处","https://www.gov.cn/zhengce/zhengceku/2020-09/03/content_5539743.htm","待复核","","",""
